epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3224,1.89016,5.53226,1.70248,0.00183,1,0.12406,0.08866,1.64538,3.95633,1.64571,8e-05,8e-05,8e-05
2,37.5775,1.71211,4.86134,1.49019,0.00167,0.90909,0.3556,0.26198,1.50924,3.92987,1.45971,0.00016218,0.00016218,0.00016218
3,55.263,1.47529,4.4893,1.34462,0.00167,0.90909,0.48749,0.27927,1.58377,3.8741,1.46883,0.00022456,0.00022456,0.00022456
4,73.1458,1.63158,4.13357,1.50561,0.00167,0.90909,0.56904,0.3147,1.44016,3.80443,1.43455,0.00026714,0.00026714,0.00026714
5,91.0464,1.41229,3.97644,1.3736,0.00167,0.90909,0.48463,0.23485,1.24285,3.84848,1.37451,0.00028992,0.00028992,0.00028992
6,108.896,1.36824,3.84665,1.29755,0.00167,0.90909,0.4719,0.24939,1.31818,3.72448,1.28247,0.0002929,0.0002929,0.0002929
7,156.127,1.29179,3.57364,1.26366,0.00183,1,0.49304,0.35272,1.23649,3.61043,1.16315,0.00027608,0.00027608,0.00027608
8,225.624,1.26463,3.439,1.23198,0.00183,1,0.57602,0.43048,1.18577,3.59098,1.15981,0.00023946,0.00023946,0.00023946
9,294.001,1.20538,3.43879,1.20943,0.00183,1,0.6168,0.38985,1.29874,3.58986,1.21987,0.00018304,0.00018304,0.00018304
10,337.783,1.28586,3.08072,1.22383,0.00183,1,0.611,0.35443,1.27852,3.50912,1.21369,0.00010682,0.00010682,0.00010682
